Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date,Classifier
Revel Transit,https://www.crunchbase.com/organization/revel-transit,"Apps, Automotive, Consumer Electronics","Brooklyn, New York, United States","Revel Transit is a shared electric vehicle service that allows users to locate, reserve, and unlock electric mopeds through an app.",31600000,USD,31600000,10/10/19,Y
Senreve,https://www.crunchbase.com/organization/senreve,"Fashion, Retail, Sales","San Francisco, California, United States",Senreve is a luxury handbag company for the multifaceted modern woman.,16750000,USD,16750000,10/10/19,N
Nexkey,https://www.crunchbase.com/organization/nexkey-inc,"Cloud Computing, Hardware, Information Technology, Internet of Things, Mobile, Mobile Apps, SaaS, Security, Smart Building, Software","San Mateo, California, United States",Smarter access control for every business,10800000,USD,10800000,10/10/19,N
New Vector,https://www.crunchbase.com/organization/new-vector-im,"Apps, Commercial, Communications Infrastructure, VoIP","London, England, United Kingdom","New Vector provides services for custom development, prioritized road-map development, support contracts, and commercial products.",13500000,USD,13500000,10/10/19,N
SouSmile,https://www.crunchbase.com/organization/sousmile,"Beauty, E-Commerce, Fashion, Health Care, Medical","São Paulo, Sao Paulo, Brazil",SouSmile is a brazilian dental beauty startup that believes everyone should have access to a smile they love,5966190,USD,5966190,10/10/19,N
Open as App,https://www.crunchbase.com/organization/openasapp,"Apps, Content Creators, Creative Agency, Customer Service, Mobile, Software, Virtual Workforce","München, Bayern, Germany",Open as App allows to create and share apps based on your spreadsheets without any programming skills.,5200000,EUR,5863651,10/10/19,N
Einride,https://www.crunchbase.com/organization/einride,"Autonomous Vehicles, Electric Vehicle, Logistics, Transportation","Stockholm, Stockholms Lan, Sweden",Einride is a cargo and freight company that designs and builds technologies for transportation systems.,32343070,USD,32343070,10/10/19,Y
Cohabs,https://www.crunchbase.com/organization/cohabs,"Communities, Real Estate","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Cohabs is a network of beautiful shared homes for nomads around the world.,18700000,USD,18700000,10/10/19,Y
BulkWhiz,https://www.crunchbase.com/organization/bulkwhiz,"Artificial Intelligence, E-Commerce, Grocery, Retail","Dubai, Dubai, United Arab Emirates",BulkWhiz is the first ecommerce consumer platform for bulk grocery and home staples powered by next generation AI technology.,,,,10/10/19,N
Dura Software,https://www.crunchbase.com/organization/dura-holdings,Software,"San Antonio, Texas, United States",Dura Software is a holding company that buys and operates software companies for the long-term.,11900000,USD,11900000,10/11/19,N
A1A,https://www.crunchbase.com/organization/a1a,"Computer, Manufacturing, Software","Tokyo, Tokyo, Japan",A1A offers a cloud-based manufacturing and procurement system for manufacturers.,353000000,JPY,3243956,10/12/19,N
Alfilo Brands,https://www.crunchbase.com/organization/alfilo,"Art, Consulting, Consumer Goods, Marketing, Retail","Shanghai, Shanghai, China","Alfilo Brands is a consumer products company that holds licensing rights to art, cultural, fashion, and entertainment properties.",23600000,USD,23600000,10/13/19,N
Sprout Solutions,https://www.crunchbase.com/organization/sprout-solutions,"Computer, Enterprise Software, Human Resources, Service Industry, Software","Taguig, Rizal, Philippines",Sprout is transforming HR in emerging markets.,7600000,USD,7600000,10/13/19,N
Tutorful,https://www.crunchbase.com/organization/tutora-ltd,"E-Learning, EdTech, Education, Search Engine, Tutoring","Sheffield, Sheffield, United Kingdom",Tutorful is an online education company.,4608690,GBP,5776053,10/14/19,N
StickEarn,https://www.crunchbase.com/organization/stickearn,"Advertising, Marketing","Jakarta Pusat, Jakarta Raya, Indonesia",Stickearn connects consumer drivers and brands looking for exposure effectively with their modern approach.,6500000,USD,6500000,10/14/19,N
Youshupai,https://www.crunchbase.com/organization/youshupai,"Enterprise, Software","Shaoxing, Zhejiang, China",Youshupai is providing SaaS management tools combining software and hardware for textile factories and traders.,,,,10/14/19,N
Layer1,https://www.crunchbase.com/organization/layer1,"Bitcoin, Blockchain, Cryptocurrency","San Francisco, California, United States",Bitcoin infrastructure.,52100000,USD,52100000,10/15/19,N
Thimble,https://www.crunchbase.com/organization/verifly,"Financial Services, FinTech, Insurance, InsurTech, Mobile","New York, New York, United States",Thimble is an insurance producer enabling small businesses to succeed on their own terms.,28900000,USD,28900000,10/15/19,N
July,https://www.crunchbase.com/organization/july,"Consumer, Consumer Goods, E-Commerce, Fashion, Internet, Internet of Things, Product Design, Retail, Travel","Melbourne, Victoria, Australia",July is a direct-to-consumer luggage brand that can own the travel experience for a new generation. (Instagram @july),11500000,AUD,7786614,10/15/19,N
Flowhub,https://www.crunchbase.com/organization/flowhub,"Business Intelligence, Cannabis, Enterprise, Internet, Point of Sale, Retail Technology, SaaS, Small and Medium Businesses, Software","Denver, Colorado, United States",Flowhub is the leading cannabis retail management platform for modern dispensaries.,26750000,USD,26750000,10/15/19,N
Cashforce,https://www.crunchbase.com/organization/cashforce,"Finance, Financial Services, FinTech, Software","Antwerp, Antwerpen, Belgium","Cashforce is a ‘next-generation’ Cash forecasting & Working Capital management platform, focused on automation and integration.",9188718,USD,9188718,10/15/19,N
ZitSticka,https://www.crunchbase.com/organization/zitsticka,"Brand Marketing, Cosmetics","New York, New York, United States",ZitSticka is a tech-meets-skincare company petitioning for the collective takedown of the zit,5000000,USD,5000000,10/15/19,N
ProcSea,https://www.crunchbase.com/organization/procsea,"Food and Beverage, Food Processing, Seafood, Supply Chain Management","Lausanne, Vaud, Switzerland",Procsea is the first business-to-business seafood marketplace.,10920006,USD,10920006,10/15/19,N
Paragon Intel,https://www.crunchbase.com/organization/paragon-intel,"Financial Services, FinTech, IaaS, Internet, SaaS","New York, New York, United States","SaaS, FinTech, Management Analytics",4200000,USD,4200000,10/15/19,N
WEED.APP,https://www.crunchbase.com/organization/weed-app,"Cannabis, Digital Marketing","Toronto, Ontario, Canada",Mobile App designed to expand the growing Cannabis industry focused on assisting licensed producers and retail dispensaries market products.,505578,USD,505578,10/15/19,N
UrbanPiper,https://www.crunchbase.com/organization/urbanpiper,"Information Services, Information Technology, Software","Bengaluru, Karnataka, India",UrbanPiper offers restaurants and chains with a suite of products to manage and analyze online presence.,680000000,INR,9528574,10/16/19,N
3d Signals,https://www.crunchbase.com/organization/3dsignals,"Artificial Intelligence, Industrial, Industrial Automation","Kfar Saba, HaMerkaz, Israel",Fast forward to Industry 4.0 with 3d Signals Asset Performance Monitoring solution.,26581868,USD,26581868,10/16/19,N
Realtime Robotics,https://www.crunchbase.com/organization/realtime-robotics-inc,"Autonomous Vehicles, Robotics","Boston, Massachusetts, United States",Realtime Robotics developer of specialized processor for generating safe robot motion plans in micro-seconds.,13700000,USD,13700000,10/16/19,N
Adroit Worldwide Media,https://www.crunchbase.com/organization/adroit-worldwide-media,"Digital Media, Media and Entertainment","Aliso Viejo, California, United States",World's Most Innovative Smart Shelf.,13020000,USD,13020000,10/16/19,N
GoSun,https://www.crunchbase.com/organization/gosun-stove,"CleanTech, Consumer Goods, Energy Efficiency, Impact Investing, Outdoors, Renewable Energy, Solar, Sustainability","Cincinnati, Ohio, United States","GoSun offers breakthrough solar technology that provides fuel-free cooking, cooling and charging technologies",1434000,USD,1434000,10/16/19,N
Infimind,https://www.crunchbase.com/organization/infimind,"Artificial Intelligence, Fashion, Retail","Beijing, Beijing, China",Infimind is a Clothing-focused AI startup.,14000000,USD,14000000,10/16/19,N
Yanker,https://www.crunchbase.com/organization/yanker,"Consumer, Consumer Goods, Internet","Beijing, Beijing, China",Yanker is a Consumer Upgrade company.,12920689,USD,12920689,10/16/19,N
Apiax,https://www.crunchbase.com/organization/apiax,"Compliance, FinTech, Information Services, Information Technology, Legal, Risk Management","Zürich, Zurich, Switzerland","Apiax transforms complex regulations into digital compliance rules, which are constantly up-to-date and verified, accessible via an API.",8110275,USD,8110275,10/17/19,N
Purchasing Platform,https://www.crunchbase.com/organization/purchasing-platform,"E-Commerce, Internet, Procurement, Real Estate","Chicago, Illinois, United States",Purchasing Platform saves money and simplifies purchasing with negotiated pricing on millions of products for real estate operators.,6310469,USD,6310469,10/17/19,N
Exact Sales,https://www.crunchbase.com/organization/exact-sales,"Information Technology, Marketing, Sales, Software","Florianópolis, Santa Catarina, Brazil",Exact Sales develops and offers cloud-based sales and pre-sales software for boosting sales for small and medium-sized businesses.,20000000,BRL,5160922,10/17/19,N
Taos Data,https://www.crunchbase.com/organization/taos-data,"Analytics, Data Storage, Software","Beijing, Beijing, China","Taos Data focuses on the acquisition, storage, query, calculation and analysis of time-space data.",3000000,USD,3000000,10/17/19,N
SkinRun,https://www.crunchbase.com/organization/skinrun,"Artificial Intelligence, Beauty, Hardware, Machine Learning, Retail Technology","Shanghai, Shanghai, China",China's Leading Beauty AI Hardware Developer,1000000,USD,1000000,10/17/19,N
viisights,https://www.crunchbase.com/organization/viisights,"Analytics, Artificial Intelligence, Automotive, Autonomous Vehicles, Big Data, Computer Vision, Homeland Security, Machine Learning, Public Safety, Video, Video Streaming","Tel Aviv, Tel Aviv, Israel",viisights is a leading provider of behavioral understanding systems by artificial intelligence ,13650000,USD,13650000,10/18/19,N
Log 9 Materials,https://www.crunchbase.com/organization/log-9-materials,"Manufacturing, Nanotechnology","Bengaluru, Karnataka, India",Log 9 Materials is a nano-materials manufacturing and RnD startup,3935129,USD,3935129,10/21/19,N
Hemster,https://www.crunchbase.com/organization/hemster,"E-Commerce, Fashion","San Francisco, California, United States","Hemster is a personal tailoring service that empowers you to create your own size, no matter where you shop.",4000000,USD,4000000,10/21/19,N
App Radar,https://www.crunchbase.com/organization/appers-gmbh,Internet,"Graz, Steiermark, Austria",App Radar is an AI powered software that is helping apps and mobile games being found within the App Stores.,3000000,EUR,3294504,10/21/19,N
Alicerce,https://www.crunchbase.com/organization/alicerce,"EdTech, Education, Social Impact, STEM Education","São Paulo, Sao Paulo, Brazil",Alicerce is a social impact platform designed to support middle-class education.,1000000,USD,1000000,10/21/19,N
Grid Edge,https://www.crunchbase.com/organization/grid-edge,"Artificial Intelligence, Environmental Consulting, Renewable Energy, Software","Birmingham, Birmingham, United Kingdom",The way we use energy is changing,200000,GBP,256061,10/21/19,Y
Sandbox VR,https://www.crunchbase.com/organization/sandbox-vr,"Content, Digital Entertainment, Location Based Services, Virtual Reality","San Mateo, California, United States","Sandbox VR is a virtual reality startup that offers a premium, fully-immersive virtual reality experience.",82000000,USD,82000000,10/22/19,N
Winnie,https://www.crunchbase.com/organization/winnie,"Apps, Child Care, Children, Education, Marketplace, Mobile Apps, Parenting","San Francisco, California, United States",Winnie is a marketplace for child care built on powerful data systems and backed by a trusted community of parents and providers.,15500000,USD,15500000,10/22/19,Y
Disperse.io,https://www.crunchbase.com/organization/disperse-io,"Artificial Intelligence, Construction, Information Technology","London, England, United Kingdom",Disperse.io is a VC-backed artificial intelligence construction startup focused on improving on-site productivity.,16688837,USD,16688837,10/22/19,N
Koio,https://www.crunchbase.com/organization/koio-collective,"Green Consumer Goods, Lifestyle, Retail, Shopping","New York, New York, United States",Koio is an high-end sneaker brand.,11060000,USD,11060000,10/22/19,N
Octave,https://www.crunchbase.com/organization/octave-b269,"Fitness, Health Care, Personal Health, Wellness","San Francisco, California, United States",Octave offers a modern practice that brings a primary care approach to serve the mental health needs of young urban professionals.,14000000,USD,14000000,10/22/19,N
Own Up,https://www.crunchbase.com/organization/rategravity,"Consumer Lending, Financial Services, FinTech, Lead Generation, Real Estate","Boston, Massachusetts, United States",Own Up provides a software solution that enables residential lending from various lenders.,12019500,USD,12019500,10/22/19,N
Crediwatch,https://www.crunchbase.com/organization/crediwatch,"Artificial Intelligence, FinTech, Information Services","Bengaluru, Karnataka, India",Amplified Intelligence for Business and Enterprise.,4800000,USD,4800000,10/22/19,N
Aurora Insight,https://www.crunchbase.com/organization/aurora-insight,"Information Services, Information Technology, Telecommunications","Washington, District of Columbia, United States","We help companies deploy, optimize, and leverage next-generation wireless with the first dynamic map of connectivity and the radio spectrum.",19000000,USD,19000000,10/22/19,N
MarginEdge,https://www.crunchbase.com/organization/marginedge,"Food and Beverage, Software","Fairfax, Virginia, United States",MarginEdge develops food and beverage tracking and analytics.,12400000,USD,12400000,10/22/19,N
Ipoweru.cn,https://www.crunchbase.com/organization/ipoweru-cn,"Education, Training","Beijing, Beijing, China",Ipoweru.cn is an online education platform focusing on the independent selection of new college entrance examinations.,2898298,USD,2898298,10/22/19,N
Fairmarkit,https://www.crunchbase.com/organization/fairmarkit,"Enterprise Software, SaaS, Software","Boston, Massachusetts, United States","Fairmarkit is the premier solution for optimizing enterprise tail spend, from sourcing through payment.",11000000,USD,11000000,10/23/19,N
HYPR,https://www.crunchbase.com/organization/dollarsocial,"Advertising, Internet, Public Relations","New York, New York, United States",HYPR is revolutionizing influencer marketing by providing clients with in depth audience demographics of social influencers.,13000000,USD,13000000,10/23/19,N
PeeSafe,https://www.crunchbase.com/organization/peesafe,"Fitness, Health Care, Wellness","Gurgaon, Haryana, India",PeeSafe is a toilet seat sanitizer spray.,6229552,USD,6229552,10/23/19,N
Popsa,https://www.crunchbase.com/organization/popsa,"Artificial Intelligence, E-Commerce, Machine Learning, Printing, Retail Technology","London, England, United Kingdom","Popsa is a machine learning startup that automatically designs, makes, and delivers personalized physical products.",6840000,GBP,9069386,10/23/19,N
The Vetreska Pet Lifestyle Company,https://www.crunchbase.com/organization/the-vetreska-pet-lifestyle-company,"Fashion, Lifestyle, Pet","Shanghai, Shanghai, China","Modern, avant-garde Pets Lifestyle brand, pushing the boundaries of imagination on pet products.",10425218,USD,10425218,10/23/19,N
Edukasyon.ph,https://www.crunchbase.com/organization/edukasyon-ph,"EdTech, Education, Higher Education, Training, Universities","Manila, Manila, Philippines",The leading edtech platform empowering Filipino Gen Z youth to make self-aware education decisions that lead to a fulfilling career and life,,,,10/23/19,N
DiligenceVault,https://www.crunchbase.com/organization/diligencevault,"Financial Services, Hedge Funds, Venture Capital","New York, New York, United States",A mutualized data and tech platform for fund investing research.,,,,10/23/19,N
eliso,https://www.crunchbase.com/organization/eliso,"Automotive, Electric Vehicle, Information Technology, Infrastructure, Software, Transportation","Stuttgart, Baden-Wurttemberg, Germany","eliso plans, implements and operates charging solutions for electric vehicles by offering innovative software and all-around services.",,,,10/23/19,N
Picus Security,https://www.crunchbase.com/organization/picus-security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security","Ankara, Ankara, Turkey",Verified security. Now possible.,7950000,USD,7950000,10/24/19,N
Cobli,https://www.crunchbase.com/organization/cobli,"Automotive, Fleet Management, Information Technology, Logistics, Software","São Paulo, Sao Paulo, Brazil",Cobli is the leading fleet management and IoT technology in Latin America.,10000000,USD,10000000,10/24/19,N
VPO,https://www.crunchbase.com/organization/vpo,"Consumer Goods, Manufacturing, Product Design, Product Management","Shenzhen, Guangdong, China","VPO is an e-cigarette brand that focuses on the design, development, production.",40000000,CNY,5965453,10/24/19,N
Lensabl,https://www.crunchbase.com/organization/lensabl,"Consumer Goods, E-Commerce, Eyewear, Health Care","Culver City, California, United States",Lensabl offers an online prescription lens replacement service.,7300000,USD,7300000,10/25/19,N
Young Alfred,https://www.crunchbase.com/organization/young-alfred,"Financial Services, FinTech, Insurance","Philadelphia, Pennsylvania, United States",Young Alfred is an online marketplace to easily compare and buy home insurance.,12250000,USD,12250000,10/25/19,N
HiCustomer,https://www.crunchbase.com/organization/hicustomer,SaaS,"Gotanda, Tokyo, Japan","SaaS, Customer Success",60000000,JPY,542964,10/25/19,N
Qunjielong,https://www.crunchbase.com/organization/qunjielong,"Communities, Food and Beverage","Nanning, Guangxi, China","Qunjielong is a WeChat mini program that engages people in community activities such as group registration, group purchase and so on.",5000000,USD,5000000,10/25/19,Y
Keleya,https://www.crunchbase.com/organization/keleya,"Lifestyle, Nutrition, Wellness, Women's","Berlin, Berlin, Germany",Keleya is an application platform and well-being coach for pregnant women with focus on exercise and nutrition.,,,,10/25/19,N
CanastaRosa,https://www.crunchbase.com/organization/canastarosa,"Education, Insurance, Internet","Mexico City, Distrito Federal, Mexico","Canasta Rosa is the platform to inspire, buy and sell unique, handmade and local products, made by microentrepreneurs.",3000000,USD,3000000,10/26/19,N
Meddy,https://www.crunchbase.com/organization/meddy,"Health Care, Information Technology","Dubai, Dubai, United Arab Emirates",Find best doctors near you based on community reviews,2579000,USD,2579000,10/27/19,N
Base Operations,https://www.crunchbase.com/organization/base-operations,"Big Data, Information Technology, Security, Software, Travel","Washington, District of Columbia, United States",Base Operations is a security and risk management platform that helps users safely navigate emerging market cities.,2000000,USD,2000000,10/28/19,Y
Alice Technologies,https://www.crunchbase.com/organization/alice-technologies,"Construction, Innovation Management, Real Estate, Software","Palo Alto, California, United States","Alice Technologies develops construction-engineering software for general contractors, subcontractors, and real estate developers.",13419533,USD,13419533,10/29/19,Y
Become,https://www.crunchbase.com/organization/becomeco,FinTech,"San Mateo, California, United States",Become (formerly Lending Express) is dedicated to creating a better world of funding for businesses.,15200000,USD,15200000,10/29/19,N
Twistle,https://www.crunchbase.com/organization/twistle,"Enterprise Software, Health Care, Messaging, Mobile Apps, Service Industry, Software","Seattle, Washington, United States","Twistle is a health care platform that helps healthcare providers connect with patients, keeping them on track for faster recovery.",19760066,USD,19760066,10/29/19,N
Thingstream,https://www.crunchbase.com/organization/thingstream,"Computer, Internet, Internet of Things","Zürich, Zurich, Switzerland",Thingstream is a leading provider of IoT Communication-as-a-Service for the Internet of Things (IoT) applications.,5000000,USD,5000000,10/29/19,N
Magentiq Eye Ltd,https://www.crunchbase.com/organization/magentiq-eye-ltd,"Computer, Health Care, Health Diagnostics, Information Technology, Video","Haifa, Hefa, Israel",Magentiq Eye LTD develops the Automatic Polyp Detection System (APDS) for Colonoscopy Procedures Online,1954868,USD,1954868,10/29/19,N
OneLocal,https://www.crunchbase.com/organization/gata-labs,"Apps, CRM, SaaS, Software","Toronto, Ontario, Canada",OneLocal helps businesses do more with less by leveraging our powerful easy-to-use marketing automation tools.,,,,10/29/19,N
Curated,https://www.crunchbase.com/organization/curated-6efa,"Communities, E-Commerce, Internet, Retail, Travel","San Francisco, California, United States",Curated is an online shopping platform.,27500000,USD,27500000,10/30/19,N
dotData,https://www.crunchbase.com/organization/dotdata,"Artificial Intelligence, Big Data, Data Center Automation, Industrial Automation, Information Technology","Cupertino, California, United States","DotData end-to-end data science automation platform accelerates, democratizes, and operationalizes the entire data science process.",43000000,USD,43000000,10/30/19,N
Quill,https://www.crunchbase.com/organization/quill-chat,"Computer, Messaging, Software","San Francisco, California, United States","Quill is a computer software company that provides a messaging software built for productivity, not engagement.",14500000,USD,14500000,10/30/19,N
Workiz,https://www.crunchbase.com/organization/workiz,"CRM, Enterprise Software, Recruiting, SaaS, Small and Medium Businesses, Software","San Diego, California, United States",Workiz is the the only field service management and communication platform for small-medium on-demand businesses in North America,7250000,USD,7250000,10/30/19,N
Kangarootime,https://www.crunchbase.com/organization/kangarootime,"Child Care, EdTech, Software","Buffalo, New York, United States",Kangarootime is a software platform for connecting families to childcare providers.,5500000,USD,5500000,10/30/19,N
Datanomix,https://www.crunchbase.com/organization/datanomix,"Analytics, Industrial Manufacturing, Internet of Things","Nashua, New Hampshire, United States","Datanomix offers a manufacturing analytics platform that combines machine, sensor and production data into bottom line insights.",3034998,USD,3034998,10/30/19,N
Duality Technologies,https://www.crunchbase.com/organization/duality,"Artificial Intelligence, Cyber Security, Software","Newark, New Jersey, United States",Duality is a cybersecurity startup.,20000000,USD,20000000,10/30/19,N
TetraScience,https://www.crunchbase.com/organization/tetrascience-inc-,"Cloud Computing, Enterprise Software, Internet of Things, Life Science, Software","Boston, Massachusetts, United States",TetraScience develops hardware and software solutions to monitor and manage research experiments and log the data in the cloud.,8145000,USD,8145000,10/31/19,N
Modus,https://www.crunchbase.com/organization/modus-technologies,"Commercial Real Estate, Property Management, Real Estate, Security","Seattle, Washington, United States","Modus provides the highest level of security, client experience, and clarity throughout the entire home closing process.",12500000,USD,12500000,10/31/19,N
Allume,https://www.crunchbase.com/organization/allume,"E-Commerce, Fashion, Retail, Shopping","Menlo Park, California, United States",Work with a professional stylist online platform. ,12200000,USD,12200000,10/31/19,N
Discover Film,https://www.crunchbase.com/organization/discover-film,"Apps, Film Distribution, Media and Entertainment, Video Streaming","London, England, United Kingdom",A technology and entertainment platform for short movies. Films can be watched online and via mobile and Smart TV Apps.,2500000,USD,2500000,10/31/19,N
Pinteon Therapeutics,https://www.crunchbase.com/organization/pinteon-therapeutics,"Health Care, Medical, Therapeutics","Newton, Massachusetts, United States",Pinteon Therapeutics focuses on the discovery and development of breakthrough therapeutics targeting Pin1.,20506316,USD,20506316,10/31/19,N
RenoRun,https://www.crunchbase.com/organization/renorun,"Building Material, Construction, Delivery Service, Retail Technology","Montréal, Quebec, Canada",RenoRun is building the world's largest single source platform for general contractors to purchase materials.,21100513,USD,21100513,11/1/19,N
Kangaroo,https://www.crunchbase.com/organization/aura-6543,"Consumer Electronics, Mobile, Security","New York, New York, United States",Kangaroo is an electronics company that provides simple home security systems.,14620000,USD,14620000,11/1/19,Y
Stae,https://www.crunchbase.com/organization/stae,"CRM, Data Integration, Information Technology, Software","New York, New York, United States",Stae gives cities a competitive advantage through platforms that develop a healthy symbiotic technology and ecology.,2210000,USD,2210000,11/1/19,N
Accusonus,https://www.crunchbase.com/organization/accusonus,"Audio, Music","Patras, Akhaia, Greece",Accusonus is a high technology start-up focused on innovation in digital audio technologies.,3899979,USD,3899979,11/1/19,N
Airlift Technologies,https://www.crunchbase.com/organization/airlift-technologies,Transportation,"Lahore, Punjab, Pakistan",Airlift Technologies is a  Private bus service.,14200000,USD,14200000,11/2/19,Y
Boulevard,https://www.crunchbase.com/organization/boulevard-3,"Customer Service, E-Commerce, Internet, Management Consulting","West Hollywood, California, United States",The business management platform powering the next generation of premium salons and spas.,11000000,USD,11000000,11/4/19,N
Gradeup,https://www.crunchbase.com/organization/gradestack,"Education, Mobile, Online Portals","Noida, Uttar Pradesh, India",India's largest and most effective platform for competitive exam preparation,10020000,USD,10020000,11/4/19,N
BeYouPlus (previously MyDermacy),https://www.crunchbase.com/organization/mydermacy,"Beauty, Cosmetic Surgery, Health Care, Personal Health","Gurgaon, Haryana, India",World's First Personalized Lifestyle Platform for people searching for solutions to their daily Skin and Hair concerns,3200000,USD,3200000,11/4/19,N
Starting 11,https://www.crunchbase.com/organization/starting-11,"Digital Entertainment, Fantasy Sports, Video Games","Minneapolis, Minnesota, United States",Live daily fantasy soccer,5300000,USD,5300000,11/4/19,N
Papaya Global,https://www.crunchbase.com/organization/papaya-global,"Analytics, Business Intelligence, Cloud Data Services, FinTech, Human Resources, Internet, Recruiting, SaaS","New York, New York, United States","Papaya Global is a global HRIS that transforms global payroll, payments, and workforce management.",49500000,USD,49500000,11/5/19,N
Mylo,https://www.crunchbase.com/organization/bankme,"Banking, Finance, Financial Services, FinTech","Montréal, Quebec, Canada",Mylo is a leading Canadian fintech created with the social mission to help users achieve their financial goals.,10856226,USD,10856226,11/5/19,N
Headout,https://www.crunchbase.com/organization/tourlandish,"Marketplace, Mobile, Travel","New York, New York, United States",Headout is an on-demand mobile concierge helping travelers book the best local experiences for the next 24 hours at discounted prices.,11800000,USD,11800000,11/5/19,N
Metawave,https://www.crunchbase.com/organization/metawave-corporation,"Artificial Intelligence, Automotive, Communications Infrastructure, Telecommunications, Wireless","Palo Alto, California, United States",Metawave is a wireless technology company that builds intelligent and high-performance automotive radars by leveraging metamaterials and AI.,17000000,USD,17000000,11/5/19,Y
Kovi,https://www.crunchbase.com/organization/kovi,"Automotive, Big Data, Car Sharing, Information Technology, Rental, Transportation","São Paulo, Sao Paulo, Brazil",Kovi is an online car rental startup that provides self-drive car rental service.,40600000,USD,40600000,11/5/19,Y
TrustInSoft,https://www.crunchbase.com/organization/trustinsoft,"Computer, Cyber Security, Network Security, Software","Paris, Ile-de-France, France",TrustInSoft is a game-changer in cybersecurity and provides solutions to mathematically guaranteed software.,6854781,USD,6854781,11/5/19,N
Imbed Biosciences,https://www.crunchbase.com/organization/imbed-biosciences,"Biometrics, Health Care","Fitchburg, Wisconsin, United States",Imbed Biosciences is a Privately held medical device company .,13454948,USD,13454948,11/5/19,N
True Made Foods,https://www.crunchbase.com/organization/truefoods,"Food and Beverage, Food Processing","Alexandria, Virginia, United States","True Made Foods radically improved Ketchup, BBQ Sauce and Sriracha. Removing the corn syrup, reducing the sugar and adding veggies instead.",1743000,USD,1743000,11/5/19,N
Cultivate,https://www.crunchbase.com/organization/cultivate-2,"Artificial Intelligence, Employment, Human Resources","San Francisco, California, United States","Cultivate's AI-feedback is the first truly real-time leadership development platform, without surveys or input, for the digital-age manager.",10000000,USD,10000000,11/6/19,N
MagicBus,https://www.crunchbase.com/organization/magicbus,"Business Information Systems, Railroad, Transportation","San Francisco, California, United States","The first truly dynamic, crowd-sourced transit system for commuters. They dispatch luxury shuttles with wi-fi that take you to work.",,,,11/6/19,N
DEV,https://www.crunchbase.com/organization/dev-to,"Association, Communities, Computer, Publishing, Software","New York, New York, United States",Dev is a community of software developers getting together to help one another out.,11500000,USD,11500000,11/7/19,N
Katalyst,https://www.crunchbase.com/organization/katalyst-inc,"Fitness, Health Care, Wellness","Seattle, Washington, United States","Katalyst is making the world's most efficient workout, Electro Muscle Stimulation (EMS) training, available to every body.",14600000,USD,14600000,11/7/19,N
Betterspace,https://www.crunchbase.com/organization/betterspace,"Hospitality, Information Technology, Software","Ilmenau, Thuringen, Germany",Betterspace is innovative and holistic solution provider for the reliable and efficient digitization in the hotel industry.,3000000,EUR,3315448,11/7/19,N
Dong Pinhui,https://www.crunchbase.com/organization/dong-pinhui,"Food and Beverage, Internet","Chongqing, Heilongjiang, China",Dong Pinhui is an Internet-enabled frozen food platform.,100000000,CNY,14331267,11/7/19,N
Lori Systems,https://www.crunchbase.com/organization/lori-systems,"Freight Service, Logistics, Railroad, Transportation","Nairobi, Nairobi Area, Kenya",Lori has built a logistics platform that is revolutionizing the cargo-transport value chain in Africa.,36225000,USD,36225000,11/8/19,N
Alpaca,https://www.crunchbase.com/organization/alpacadb,"Developer APIs, Financial Services, FinTech, Trading Platform","San Mateo, California, United States",Alpaca builds a financial service company for the tech-native generation.,11800000,USD,11800000,11/8/19,N
Farmote Systems,https://www.crunchbase.com/organization/farmote-systems,"Agriculture, Electronics, Internet of Things","Christchurch, Canterbury, New Zealand","Agtech, IoT, Remote Monitoring, Crop Management, Agritech",1400000,NZD,926571,11/8/19,N
dph168.com,https://www.crunchbase.com/organization/dph168-com,"Big Data, Logistics, Supply Chain Management","Chongqing, Heilongjiang, China",dph168.com is a frozen food supply chain integration service platform.,14000000,USD,14000000,11/8/19,N
ISEE,https://www.crunchbase.com/organization/isee-c0f5,"Artificial Intelligence, Automotive, Autonomous Vehicles, Machine Learning","Cambridge, Massachusetts, United States",ISEE develops a humanistic artificial intelligence for autonomous driving.,17736986,USD,17736986,11/11/19,Y
Workmate,https://www.crunchbase.com/organization/helpster,"Employment, Internet, Social Recruiting","Singapore, Central Region, Singapore",Workmate is an on-demand staffing platform for blue-collar workers in Southeast Asia.,10550000,USD,10550000,11/11/19,N
Loop,https://www.crunchbase.com/organization/loop-returns,"E-Commerce, E-Commerce Platforms, Internet","Columbus, Ohio, United States",The future of commerce is connection.,10450000,USD,10450000,11/12/19,N
Cutover,https://www.crunchbase.com/organization/godesic,"Information Technology, Project Management, Software","London, England, United Kingdom","Cutover is a platform designed to orchestrate critical enterprise IT change events, enhancing collaboration and reducing risk and cost.",19618000,USD,19618000,11/12/19,N
Ping,https://www.crunchbase.com/organization/ping-6,"Analytics, Artificial Intelligence, Enterprise Software, Legal, Machine Learning, SaaS, Software","San Francisco, California, United States",Ping is an AI-powered timekeeping solution for law firms and lawyers.,13200000,USD,13200000,11/12/19,N
